"";"cod_com";"COMUNA";"ID_MANZ";"MANZ_EN";"ZONA";"ibt";"dim_acc";"iav";"icul";"idep";"isal";"iser";"ise";"dim_amb";"iata";"icv";"dim_soc";"ivi";"isv";"iej";"irh";"iem";"ipj";"dim_seg";"igpe";"igpr";"ilpe";"ilpr";"AREA";"TOTAL_V";"HOG_N";"PERSONAS";"E0A5";"E6A14";"E4A18";"E0A18";"E15A24";"E65YMAS"
"825";13114;13114;"13114081003019";"URBANO";"13114081003";0,740562714431628;0,720738321893692;19,2735038680218;0,0842392032863032;1,72791821105603;0,390547631573348;0,526225288917324;0,636773164336365;0,426106840460894;15,2842216491699;0;0,759700270791998;1;1;14,5;0,888888888888889;0,942857142857143;0,857142857142857;0,96787354324082;0,9828;0,9438;0,9821;0,9891;5214,93515474419;18;18;61;2;4;7;8;14;6
"826";13114;13114;"13114081003020";"URBANO";"13114081003";0,745022428404929;0,723846126893956;19,8089840078659;0,0860620761000811;1,62730775735108;0,380170851545511;0,544349250379789;0,670223604002181;0,434929189306557;14,9974374771118;0;0,757235770863567;1;0,968652037617555;15,5;0,892857142857143;0,9375;0,833333333333333;0,96787354324082;0,9828;0,9438;0,9821;0,9891;8092,92100097053;29;28;88;8;12;20;25;6;14
"827";13114;13114;"13114081003021";"URBANO";"13114081003";0,74307159112135;0,723402999308049;19,7244696629372;0,085543174878757;1,66707086084739;0,381731704270638;0,543457056474054;0,662821160604538;0,43558757354877;14,9807968139648;0;0,752879901000615;1;0,966329966329966;16,8;0,777777777777778;0,9375;0,9;0,96787354324082;0,9828;0,9438;0,9821;0,9891;7757,01474711671;27;27;80;7;5;8;15;10;10
"828";13114;13114;"13114081003022";"URBANO";"13114081003";0,734496585324893;0,719598818494548;19,6201583278494;0,0837513419115747;1,67226835772093;0,374209708398571;0,53927142224317;0,644879540887835;0,440788809062258;14,8555164337158;0;0,733282567606591;1;1;15,7;0,892857142857143;0,894736842105263;0,8;0,96787354324082;0,9828;0,9438;0,9821;0,9891;7500,54755516117;28;28;82;7;6;10;16;5;26
"829";13114;13114;"13114081003023";"URBANO";"13114081003";0,817727993795494;0,71767690590115;19,6138236729113;0,0829632418875067;1,67343551217458;0,372326553277463;0,533489445200331;0,632215376468389;0,469287099578907;14,4196214675903;2,09567114481359;0,883363193330861;1;1;16;0,888888888888889;1;1;0,96787354324082;0,9828;0,9438;0,9821;0,9891;5519,28834118904;18;18;54;2;8;14;13;7;8
"830";13114;13114;"13114081003024";"URBANO";"13114081003";0,773107018816414;0,717666649383594;NA;NA;NA;NA;NA;NA;0,446055882999967;14,7301292419434;0;0,811897537418246;1;1;NA;NA;NA;0,944989490396158;0,96787354324082;0,9828;0,9438;0,9821;0,9891;2687,59183127433;1;0;0;0;0;0;0;0;0
"831";13114;13114;"13114081003025";"URBANO";"13114081003";0,825526738693308;0,716674432415435;19,1851883798439;0,0816809503432051;1,80765039971115;0,38932180401738;0,510500267210939;0,608341123674764;0,515217583586467;14,359712600708;21,7992915512905;0,85498786323549;1;1;16,4;1;0,857142857142857;1;0,96787354324082;0,9828;0,9438;0,9821;0,9891;5275,13016015664;18;17;61;2;4;7;8;16;4
"832";13114;13114;"13114081003026";"URBANO";"13114081003";0,804971390330125;0,717304008873325;19,2783786629434;0,0814114744969878;1,84102227563125;0,389225967215223;0,511041302641082;0,61242475554223;0,472865270622392;14,574047088623;5,89785876958821;0,853082283010096;1;1;15,6;0,909090909090909;0,95;1;0,96787354324082;0,9828;0,9438;0,9821;0,9891;5475,55794467963;12;11;41;6;4;7;13;4;7
"833";13114;13114;"13114081003027";"URBANO";"13114081003";0,757894836939526;0,717313030190477;19,449016902354;0,080662150522012;1,87839542495587;0,389108114888094;0,506995559705373;0,61264387776043;0,475070857388141;15,1879110336304;18,755577376281;0,746649246289064;1;1;15,9;0,869565217391304;0,880952380952381;0,875;0,972172926690938;0,9736;0,9671;0,9881;0,9784;5603,73624943942;26;23;73;7;10;17;22;8;6
"834";13114;13114;"13114081003028";"URBANO";"13114081003";0,749563238909713;0,722820978624211;19,9456088621773;0,0815156992141831;1,94348068504686;0,39463114467543;0,509036247010036;0,648107233753324;0,470138032796949;16,0443019866943;26,8346648755728;0,728390471880137;1;1;15,7;0,882352941176471;0,925925925925926;0,75;0,972172926690938;0,9736;0,9671;0,9881;0,9784;5048,73825159764;17;17;49;2;4;7;8;4;12
"835";13114;13114;"13114081003029";"URBANO";"13114081003";0,745218317251848;0,717323789480184;19,7387721025535;0,0813059124274618;1,77825655027444;0,380499488410617;0,516296850047224;0,620409472167374;0,430452176459504;15,1462726593018;0;0,764351507843017;1;0,966329966329966;16;0,884615384615385;0,92156862745098;0,863636363636364;0,972172926690938;0,9736;0,9671;0,9881;0,9784;8250,29619872454;27;26;94;8;5;8;16;22;8
"836";13114;13114;"13114081003030";"URBANO";"13114081003";0,780106211872647;0,720549815694327;20,0521080392436;0,0826113049186549;1,76764357624254;0,377774801590462;0,53052464233517;0,641216245388712;0,471629880409364;14,9125490188599;12,1037957930712;0,793996637845278;1;1;16,3;0,851851851851852;0,934782608695652;0,909090909090909;0,972172926690938;0,9736;0,9671;0,9881;0,9784;7967,63364174962;28;27;87;9;7;12;20;11;14
